Local: ,18-Oct-24,02:55:32 PM,tz_sec ,28800
Linux Epoch (ms): ,1729234532000
Epoch Delta TS,X,Y,Z,Magnitude
9497,151,7,217,264.459826817
9517,152,12,215,263.577313136
9538,140,7,208,250.824639938
9558,137,6,212,252.485643156
9578,147,6,208,254.77244749
9599,152,7,211,260.142268768
9619,152,7,212,260.954018938
9639,150,6,215,262.223187381
9659,150,2,212,259.707527808
9680,152,7,214,262.581415946
9700,140,7,216,257.497572804
9720,143,9,209,253.398895025
9741,150,6,209,257.326640673
9761,145,4,208,253.584305508
9781,151,8,212,260.401612898
9802,144,11,211,255.691220029
9822,145,3,211,256.037106686
9842,145,8,211,256.144490474
9862,151,7,214,262.003816766
9883,152,7,214,262.581415946
9903,148,9,214,260.347844239
9923,141,3,217,258.803013893
9944,143,6,207,251.662472371
9964,148,3,212,258.567205964
9984,150,8,209,257.381040483
10003,143,7,211,254.988235023
10024,150,3,209,257.27417282
10044,140,6,216,257.47232861
10064,143,7,209,253.335745603
10085,150,12,215,262.429038027
10105,152,3,214,262.505238043
10125,152,7,214,262.581415946
10145,142,8,216,258.619411491
10166,139,9,216,257.017509131
10186,143,8,212,255.845656598
10206,147,6,216,261.344600097
10227,150,4,211,258.915043982
10247,149,0,211,258.306020061
10267,152,9,219,266.732075312
10287,140,4,215,256.595011643
10308,147,3,211,257.175037669
10328,151,9,217,264.52032058
10348,143,5,208,252.4638588
10369,147,7,207,253.982282847
10389,147,3,215,260.466888491
10409,154,6,212,262.099217855
10429,152,3,220,267.419146659
10450,145,7,216,260.249879923
10470,140,12,214,256.007812381
10490,137,7,214,254.192840182
10511,145,3,208,253.570503016
10531,140,11,207,250.139960822
10551,151,7,219,266.103363376
10571,145,8,209,254.49950884
10592,143,8,222,264.191218628
10612,147,11,215,260.681798367
10632,147,6,216,261.344600097
10653,152,4,208,257.650926643
10673,147,7,211,257.25279396
10693,151,10,216,263.736611035
10713,139,12,217,257.980619427
10734,143,7,217,259.974998798
10754,152,9,212,261.015325221
10774,152,4,215,263.334388184
10795,154,8,219,267.845104491
10815,150,12,216,263.248931622
10835,148,4,214,260.222981306
10855,147,6,216,261.344600097
10876,152,8,211,260.171097549
10896,151,9,211,259.620877435
10916,147,1,211,257.159483589
10937,148,9,215,261.170442432
10957,151,9,211,259.620877435
10977,139,7,216,256.955249022
10997,148,7,216,261.933197591
11017,145,8,214,258.621344827
11037,147,-4,209,255.550386421
11057,153,3,216,264.714941021
11078,153,9,216,264.850901452
11098,152,8,214,262.609976962
11118,145,7,216,260.249879923
11139,137,8,211,251.702204996
11159,147,6,212,258.048445064
11179,152,3,216,264.138221392
11199,145,7,215,259.420508056
11220,143,7,211,254.988235023
11240,143,6,212,255.790930254
11260,152,1,209,258.429874434
11281,152,9,212,261.015325221
11301,143,8,216,259.169828491
11321,139,3,216,256.877402665
11341,144,10,211,255.650151574
11362,152,8,214,262.609976962
11382,148,7,212,258.644543727
11402,147,3,211,257.175037669
11423,155,12,211,262.087771558
11443,148,7,207,254.562369568
11463,145,7,215,259.420508056
11483,150,6,217,263.865496039
11504,140,4,216,257.433486555
11524,148,6,212,258.619411491
11544,143,7,214,257.476212494
11565,139,7,216,256.955249022
11585,148,6,211,257.800310318
11605,147,7,216,261.369470291
11625,152,7,212,260.954018938
11646,150,6,214,261.403902037
11666,150,7,214,261.428766589
11686,150,7,215,262.247974253
11707,143,8,216,259.169828491
11727,139,7,211,252.766690844
11747,143,3,214,257.398523694
11767,150,6,211,258.953663809
11788,151,6,211,259.534198132
11808,145,1,215,259.327977665
11828,151,7,211,259.559241793
11849,143,4,211,254.923517942
11869,152,4,209,258.458894217
11889,152,7,217,265.032073531
11909,143,6,216,259.115804227
11930,136,7,215,254.49950884
11950,147,11,213,259.034746704
11970,144,7,211,255.550386421
11991,155,6,215,265.115069357
12010,152,9,209,258.584608977
12030,151,12,209,258.120127073
12051,147,4,211,257.188646717
12071,150,3,217,263.814328648
12091,135,3,217,255.583645799
12111,152,6,212,260.929109147
12132,150,9,216,263.129245809
12152,147,8,215,260.57244674
12172,150,7,212,259.79414928
12193,148,7,212,258.644543727
12213,152,-1,211,260.049995193
12233,147,3,213,258.818469202
12253,151,12,207,256.503411283
12274,147,8,209,255.644284114
12294,152,6,209,258.497582194
12314,152,9,209,258.584608977
12335,144,4,210,254.660558391
12355,147,9,212,258.135623268
12375,144,3,213,257.126428047
12395,153,4,213,262.28610333
12416,148,11,216,262.070601175
12436,148,8,212,258.673539428
12456,152,3,207,256.830683525
12477,156,8,207,259.324121516
12497,151,9,214,262.064877464
12517,156,7,214,264.916968124
12537,147,7,216,261.369470291
12558,143,9,215,258.369889887
12578,152,3,211,260.065376396
12598,152,3,214,262.505238043
12619,151,7,211,259.559241793
12639,142,6,212,255.233226677
12659,150,7,211,258.978763608
12679,150,1,211,258.88607533
12700,144,8,212,256.405928169
12720,140,7,215,256.659307254
12740,142,4,215,257.691676233
12761,147,3,211,257.175037669
12781,148,-1,212,258.551735635
12801,147,3,214,259.642061307
12822,152,7,211,260.142268768
12842,150,8,211,259.007721893
12862,143,7,209,253.335745603
12882,135,8,211,250.619233101
12903,147,7,207,253.982282847
12923,151,1,214,261.912199029
12943,147,9,212,258.135623268
12964,142,7,211,254.428771958
12984,148,7,208,255.376193096
13003,142,9,211,254.491650158
13023,140,8,212,254.181037845
